X,Y,Population2030,Gridconnected-2012,Split,SA,MG,MINIMUMCOST,MINIMUMDISTANCE,DistancefromtheHVgrid(meters),Gridextensionsforthosegainingaccess,Urban/RuralSplit,Gainingaccesssettlements,Urbangainingaccesspopulation,Ruralgainingaccesspopulation,,,Urbangainingaccessinkm,Urbanpopulationgainingaccess,Urbangainingaccesssettlements,,GridUrbanPopulation,GridUrbanSettlements,MicroGridUrbanPopulation,MicroGridUrbanSettlements,,,,,,Split300,SA300,MG300,MINIMUMCOST300,MINIMUMDISTANCE300,,Split50,SA50,MG50,MINIMUMCOST50,MINIMUMDISTANCE50,,,GridUrbanPopulation,126761278,inhabitants
42.183333,9.55,25019,0,Grid,,,0.175529052,5000,23383.30585,5000,Urban,1,25019,0,,,,,,,25019,1,0,0,,,,,,Grid,,,0.175529052,5000,,Grid,,,0.199993957,0.199993957,,,,,
41.933333,9.4,34793,1,Grid,,,0,2500,565.832233,0,Urban,0,0,0,,,,,,,34793,1,0,0,,,,,,Grid,,,0,2500,,Grid,,,0,0,,,,,
39.85,9.716667,6574,0,Grid,,,0.191027003,7500,16525.26789,7500,Urban,1,6574,0,,,,,,,6574,1,0,0,,,,,,Grid,,,0.191027003,7500,,Grid,,,0.230409123,0.230409123,,,,,
42.1,9.05,8333,0,Grid,,,0.185855669,5000,26752.50174,5000,Urban,1,8333,0,,,,,,,8333,1,0,0,,,,,,Grid,,,0.185855669,5000,,Grid,,,0.219476613,0.219476613,,,,,
42.316667,9.033333,769,0,StandAlone,Diesel,,0.5204,0.5204,19947.23042,0.5204,Rural,1,0,769,,,,,,,0,0,0,0,,,,,,Grid,,,0.279461575,7500,,StandAlone,Diesel,,0.5204,0.5204,,,,,
40.183333,7.366667,5295,0,Grid,,,0.200229462,12500,32861.51502,12500,Urban,1,5295,0,,,,,,,5295,1,0,0,,,,,,Grid,,,0.200229462,12500,,StandAlone,Diesel,,0.246953992,0.695,,,,,
40.95,7.533333,373,0,StandAlone,Diesel,,0.8114,0.8114,73577.58663,0,Rural,0,0,0,,,,,,,0,0,0,0,,,,,,MicroGrid,,Diesel,0.387838494,0,,StandAlone,Diesel,,0.8114,0.8114,,,,,
42.266667,9.45,23527,0,Grid,,,0.175529105,5000,15413.91569,5000,Urban,1,23527,0,,,,,,,23527,1,0,0,,,,,,Grid,,,0.175529105,5000,,Grid,,,0.199994029,0.199994029,,,,,
36.366667,12.983333,1077,0,StandAlone,Diesel,,0.332911135,0.7241,10368.3981,0.7241,Rural,1,0,1077,,,,,,,0,0,0,0,,,,,,Grid,,,0.245221474,5000,,StandAlone,Diesel,,0.332911135,0.7241,,,,,
41.866667,9.233333,18005,0,Grid,,,0.176300601,5000,17313.5167,5000,Urban,1,18005,0,,,,,,,18005,1,0,0,,,,,,Grid,,,0.176300601,5000,,Grid,,,0.202216377,0.202216377,,,,,
39.533333,9.483333,11492,0,Grid,,,0.181098971,5000,12711.15805,5000,Urban,1,11492,0,,,,,,,11492,1,0,0,,,,,,Grid,,,0.181098971,5000,,Grid,,,0.210825356,0.210825356,,,,,
37.6,9.05,13384,1,Grid,,,0,2500,2621.679826,0,Urban,0,0,0,,,,,,,13384,1,0,0,,,,,,Grid,,,0,2500,,Grid,,,0,0,,,,,
37.6,9.283333,12848,0,Grid,,,0.180675941,7500,19513.75798,7500,Urban,1,12848,0,,,,,,,12848,1,0,0,,,,,,Grid,,,0.180675941,7500,,Grid,,,0.209973006,0.209973006,,,,,
38,9.316667,16246,0,Grid,,,0.178191549,7500,28679.01761,7500,Urban,1,16246,0,,,,,,,16246,1,0,0,,,,,,Grid,,,0.178191549,7500,,Grid,,,0.20569051,0.20569051,,,,,
